City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descritption
79,Okhotsk,RU,59.3833,143.3,58.35,95,100,3.0,overcast clouds
80,Chicama,PE,-7.8447,-79.1469,64.94,57,4,9.31,clear sky
81,Dudinka,RU,69.4058,86.1778,52.63,81,99,8.14,overcast clouds
82,Saint-Denis,FR,48.9167,2.3333,72.75,80,0,10.36,clear sky
83,Altay,CN,47.8667,88.1167,55.69,56,71,5.46,broken clouds
84,Zhigansk,RU,66.7697,123.3711,48.29,70,99,15.5,overcast clouds
85,Husavik,IS,66.0449,-17.3389,46.18,87,100,7.56,overcast clouds
86,Margate,GB,51.3813,1.3862,74.88,68,20,4.0,few clouds
87,Ingham,US,42.6,-84.3833,89.78,56,75,10.36,light rain
88,Berlevag,NO,70.8578,29.0864,55.4,94,100,2.3,overcast clouds
89,Beitbridge,ZW,-22.2167,30.0,69.26,64,100,9.19,overcast clouds
90,Ushuaia,AR,-54.8,-68.3,33.42,93,100,18.41,snow
91,Mehamn,NO,71.0357,27.8492,55.35,94,20,0.0,few clouds
92,Obo,CF,5.3998,26.4869,67.68,96,13,3.8,few clouds
93,Airai,TL,-8.9266,125.4092,56.86,94,82,3.31,broken clouds
94,Kapaa,US,22.0752,-159.319,82.38,78,20,12.66,few clouds
95,Nikolayevsk-Na-Amure,RU,53.1406,140.73,53.58,99,92,3.74,overcast clouds
96,Lebu,CL,-37.6167,-73.65,53.24,95,100,11.43,overcast clouds
97,Clyde River,CA,70.4692,-68.5914,39.43,100,100,8.05,light rain
98,Aklavik,CA,68.2191,-135.0107,62.6,67,75,2.3,broken clouds
99,Iqaluit,CA,63.7506,-68.5145,47.93,87,75,4.61,broken clouds
100,Haines Junction,CA,60.7522,-137.5108,54.84,56,100,7.56,overcast clouds
101,Kaitangata,NZ,-46.2817,169.8464,41.11,82,100,5.77,overcast clouds
102,Constitucion,CL,-35.3333,-72.4167,58.73,71,5,7.2,clear sky
103,Lubango,AO,-14.9172,13.4925,57.61,41,23,5.19,few clouds
104,Terrace,CA,54.5163,-128.6035,66.11,59,75,2.3,broken clouds
105,Cabo San Lucas,MX,22.8909,-109.9124,95.61,46,20,11.5,few clouds
106,Marondera,ZW,-18.1853,31.5519,51.98,77,61,4.07,broken clouds
107,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,10.36,broken clouds
108,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,38,15.37,scattered clouds
109,Kovdor,RU,67.5662,30.4758,61.52,83,100,3.76,overcast clouds
110,Katsuura,JP,35.1333,140.3,77.25,80,78,7.49,broken clouds
111,Mranggen,ID,-7.0268,110.5158,76.84,83,100,2.3,overcast clouds
112,Jutai,BR,-5.1833,-68.9,87.85,48,100,2.21,overcast clouds
113,Serra Talhada,BR,-7.9919,-38.2983,79.86,52,88,12.01,overcast clouds
114,Wilmington Island,US,32.0036,-80.9737,90.99,48,24,12.08,few clouds
115,Grindavik,IS,63.8424,-22.4338,53.55,82,75,18.41,broken clouds
116,Jaroslaw,PL,50.0162,22.6778,75.11,62,1,7.38,clear sky
117,Lavrentiya,RU,65.5833,-171.0,39.9,95,100,14.81,overcast clouds
118,Antofagasta,CL,-23.65,-70.4,60.08,71,100,6.76,overcast clouds
119,Sipoo,FI,60.3775,25.2691,69.06,72,0,6.91,clear sky
120,Abha,SA,18.2164,42.5053,67.82,68,0,11.5,clear sky
121,Atuona,PF,-9.8,-139.0333,77.65,74,7,15.64,clear sky
122,Geraldton,AU,-28.7667,114.6,66.61,94,75,14.97,broken clouds
123,Georgetown,MY,5.4112,100.3354,81.9,89,20,0.0,few clouds
124,Narrabri,AU,-30.3167,149.7833,49.51,75,100,3.0,overcast clouds
125,Codrington,AU,-38.2667,141.9667,38.57,84,0,8.5,clear sky
126,Esperance,AU,-33.8667,121.9,61.56,52,100,19.13,overcast clouds
127,Kirakira,SB,-10.4544,161.9205,79.07,84,75,6.58,broken clouds
128,Tiksi,RU,71.6872,128.8694,36.61,94,99,14.36,overcast clouds
129,Rawson,AR,-43.3002,-65.1023,54.3,53,100,26.22,overcast clouds
130,Oistins,BB,13.0667,-59.5333,87.89,74,75,14.97,broken clouds
131,Burnie,AU,-41.0667,145.9167,43.95,81,61,7.36,broken clouds
132,Thinadhoo,MV,0.5333,72.9333,81.34,73,100,9.53,overcast clouds
133,Torbay,CA,47.6666,-52.7314,71.58,76,75,19.57,broken clouds
134,Nawa,IN,27.0167,75.0,88.27,65,100,8.63,light rain
135,Hofn,IS,64.2539,-15.2082,52.74,73,100,8.5,overcast clouds
136,Namibe,AO,-15.1961,12.1522,62.28,85,2,6.78,clear sky
137,Castro,BR,-24.7911,-50.0119,70.36,63,1,4.43,clear sky
138,Nikolskoye,RU,59.7035,30.7861,70.88,57,100,11.52,overcast clouds
139,College,US,64.8569,-147.8028,60.75,73,75,5.75,broken clouds
140,Kudahuvadhoo,MV,2.6708,72.8944,80.92,73,100,13.35,overcast clouds
141,Sakakah,SA,29.9697,40.2064,101.77,11,0,13.0,clear sky
142,Amalapuram,IN,16.5833,82.0167,80.78,86,28,3.8,scattered clouds
143,Bongaree,AU,-27.0797,153.1586,63.07,72,100,22.15,light rain
144,Sambava,MG,-14.2667,50.1667,69.51,84,45,14.7,light rain
145,Taltal,CL,-25.4,-70.4833,59.38,81,100,3.04,overcast clouds
146,Coihaique,CL,-45.5752,-72.0662,36.21,80,100,5.75,light snow
147,Roald,NO,62.5833,6.1333,60.75,94,75,2.3,light intensity drizzle
148,Mar Del Plata,AR,-38.0023,-57.5575,64.94,53,0,17.27,clear sky
149,Portland,US,45.5234,-122.6762,86.61,51,0,7.0,clear sky
150,Vasteras,SE,59.6162,16.5528,76.91,57,75,6.91,broken clouds
151,Oussouye,SN,12.485,-16.5469,77.18,88,100,5.91,moderate rain
152,Jamestown,US,42.097,-79.2353,87.71,52,40,17.27,scattered clouds
153,Almaznyy,RU,48.0448,40.045,67.57,48,36,4.9,scattered clouds
154,Tessalit,ML,20.1986,1.0114,78.57,66,97,6.51,moderate rain
155,Massa Marittima,IT,43.049,10.8928,82.81,67,0,2.73,clear sky
156,Santa Marta,CO,11.2408,-74.199,84.87,71,81,13.85,broken clouds
157,Kodiak,US,57.79,-152.4072,54.91,76,100,4.61,overcast clouds
158,Palmer,US,42.1584,-72.3287,96.24,48,46,4.21,scattered clouds
159,Krasnoselkup,RU,65.7,82.4667,51.87,80,100,3.98,overcast clouds
160,Vila,PT,42.0304,-8.1588,76.69,47,0,3.15,clear sky
161,Salalah,OM,17.0151,54.0924,77.09,100,100,3.44,overcast clouds
162,Lazaro Cardenas,MX,17.9583,-102.2,88.54,64,8,8.12,clear sky
163,Marion,US,39.7684,-86.1555,93.54,63,75,19.57,broken clouds
164,Luba,GQ,3.4568,8.5547,76.1,85,100,8.61,light rain
165,Marshall,US,34.3834,-86.3333,97.07,55,40,10.36,scattered clouds
166,Usinsk,RU,65.9939,57.5281,62.46,62,3,9.19,clear sky
167,Palmares,BR,-8.6833,-35.5917,75.88,86,25,8.32,scattered clouds
168,Fuerte Olimpo,PY,-21.0415,-57.8738,95.54,16,11,9.01,few clouds
169,Plouzane,FR,48.3833,-4.6167,64.45,80,100,8.05,overcast clouds
170,Nanortalik,GL,60.1432,-45.2371,52.63,79,19,13.96,few clouds
171,Gua Musang,MY,4.8823,101.9644,72.82,99,100,1.57,overcast clouds
172,Ahuimanu,US,21.4447,-157.8378,80.31,71,20,16.11,few clouds
173,Shimoda,JP,34.6667,138.95,76.1,83,100,3.2,overcast clouds
174,Qaqortoq,GL,60.7167,-46.0333,53.89,79,82,6.08,broken clouds
175,Linhares,BR,-19.3911,-40.0722,77.68,61,17,10.2,few clouds
176,Kavieng,PG,-2.5744,150.7967,81.03,79,77,11.32,light rain
177,Bathsheba,BB,13.2167,-59.5167,88.41,89,75,14.97,broken clouds
178,Balkhash,KZ,46.844,74.9804,76.15,43,0,11.54,clear sky
179,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,92.64,20,5,4.47,clear sky
180,Takoradi,GH,4.8845,-1.7554,74.61,70,72,8.55,broken clouds
181,Andenes,NO,69.3143,16.1194,59.94,88,75,5.75,broken clouds
182,Lengshuijiang,CN,27.6881,111.4294,79.12,90,100,2.89,overcast clouds
183,Hasaki,JP,35.7333,140.8333,75.6,83,100,8.14,overcast clouds
184,Caernarfon,GB,53.1413,-4.2702,62.62,59,20,11.5,few clouds
185,Bethel,US,41.3712,-73.414,97.18,49,40,6.91,scattered clouds
186,Dongsheng,CN,39.8161,109.9776,70.32,46,6,7.67,clear sky
187,Goderich,CA,43.7501,-81.7165,88.12,51,100,19.57,overcast clouds
188,Viedma,AR,-40.8135,-62.9967,66.52,33,100,28.14,moderate rain
189,Gizo,SB,-8.103,156.8419,80.96,74,100,5.75,overcast clouds
190,Bluff,NZ,-46.6,168.3333,39.79,64,100,8.01,overcast clouds
191,Pitimbu,BR,-7.4706,-34.8086,77.59,82,66,11.68,broken clouds
192,Chuy,UY,-33.6971,-53.4616,60.62,83,0,8.9,clear sky
193,Vardo,NO,70.3705,31.1107,53.58,94,100,0.0,overcast clouds
194,Male,MV,4.1748,73.5089,82.35,83,75,14.97,broken clouds
195,Thompson,CA,55.7435,-97.8558,71.76,60,40,12.66,scattered clouds
196,Sungaipenuh,ID,-2.0833,101.3833,62.89,96,100,1.54,overcast clouds
197,Lompoc,US,34.6391,-120.4579,93.02,66,0,11.5,clear sky
198,Poum,NC,-20.2333,164.0167,75.43,86,100,7.94,overcast clouds
199,Atar,MR,20.5169,-13.0499,106.56,7,59,6.93,broken clouds
200,Oktyabrskiy,RU,54.4815,53.471,59.11,80,93,3.02,overcast clouds
201,Kibaya,TZ,-5.3,36.5667,55.99,88,36,6.89,scattered clouds
202,Tres Picos,MX,15.8667,-93.5333,90.34,55,81,5.1,broken clouds
203,Nishihara,JP,26.1842,127.7558,83.48,89,100,10.36,overcast clouds
204,Saint George,US,37.1041,-113.5841,107.44,17,0,6.91,clear sky
205,Cochrane,CA,51.1834,-114.4687,72.9,49,0,10.36,clear sky
206,Namie,JP,37.4833,141.0,71.71,92,78,3.6,broken clouds
207,Jaciara,BR,-15.9653,-54.9683,94.17,16,95,1.01,overcast clouds
208,Dunedin,NZ,-45.8742,170.5036,42.8,81,100,17.0,overcast clouds
209,Mezen,RU,65.8522,44.24,66.38,71,3,8.37,clear sky
210,Malindi,KE,-3.2175,40.1191,75.36,78,40,11.5,scattered clouds
211,Nome,US,64.5011,-165.4064,48.27,82,100,18.41,moderate rain
212,Hervey Bay,AU,-25.2986,152.8535,63.72,70,100,23.06,light rain
213,Aguas Formosas,BR,-17.0822,-40.9358,77.23,60,93,7.52,overcast clouds
214,San Cristobal,VE,7.7669,-72.225,77.18,55,90,7.92,overcast clouds
215,Seddon,AU,-37.8068,144.8916,42.21,87,0,11.5,clear sky
216,Leh,IN,34.1667,77.5833,66.6,17,100,10.4,overcast clouds
217,Port Hedland,AU,-20.3167,118.5667,57.25,72,0,8.05,clear sky
218,Takikawa,JP,43.5528,141.9064,59.05,97,16,3.06,few clouds
219,Inirida,CO,3.8653,-67.9239,85.28,65,71,2.3,broken clouds
220,Sydney,AU,-33.8679,151.2073,54.72,85,75,8.05,broken clouds
221,Richards Bay,ZA,-28.783,32.0377,64.74,87,8,7.45,clear sky
222,Ancud,CL,-41.8697,-73.8203,41.23,64,84,15.39,broken clouds
223,Augusto Correa,BR,-1.0217,-46.635,83.95,69,60,6.26,broken clouds
224,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,75,10.36,broken clouds
225,Jackson,US,42.4165,-122.8345,92.75,33,0,3.44,clear sky
226,Cayenne,GF,4.9333,-52.3333,86.04,1,0,11.5,clear sky
227,Ubud,ID,-8.5098,115.2654,74.59,85,73,1.72,broken clouds
228,Fort Nelson,CA,58.8053,-122.7002,72.99,35,20,8.05,few clouds
229,Airdrie,GB,55.866,-3.9803,64.0,70,0,10.42,clear sky
230,Magadan,RU,59.5667,150.8,55.65,90,69,0.98,broken clouds
231,Ulaangom,MN,49.9811,92.0667,57.88,44,4,1.99,clear sky
232,Paamiut,GL,61.994,-49.6678,49.48,86,73,18.45,broken clouds
233,Norman Wells,CA,65.282,-126.8329,71.64,37,75,2.3,broken clouds
234,Coihueco,CL,-36.6167,-71.8333,48.94,87,100,4.61,mist
235,Acapulco,MX,16.8634,-99.8901,87.62,70,75,9.22,broken clouds
236,Susanville,US,40.4163,-120.653,91.9,14,0,7.0,clear sky
237,Notodden,NO,59.5594,9.2585,75.76,59,100,4.5,overcast clouds
238,Tecoanapa,MX,16.5167,-98.75,86.4,61,100,8.72,overcast clouds
239,Yelniki,RU,54.6207,43.876,57.2,91,100,6.44,light rain
240,Kloulklubed,PW,7.0419,134.2556,73.9,74,32,1.32,scattered clouds
241,Cedar City,US,37.6775,-113.0619,90.57,19,40,4.61,scattered clouds
242,Inta,RU,66.0317,60.1659,63.99,60,96,7.76,overcast clouds
243,Lexington,US,37.9887,-84.4777,92.08,63,75,14.97,broken clouds
244,Upernavik,GL,72.7868,-56.1549,48.47,69,46,9.26,scattered clouds
245,Slave Lake,CA,55.2834,-114.769,71.58,43,20,12.66,few clouds
246,Namwala,ZM,-15.7504,26.4384,68.68,50,100,7.67,overcast clouds
247,Manado,ID,1.487,124.8455,74.17,94,20,2.3,few clouds
248,Duncan,US,34.5023,-97.9578,109.06,19,0,10.36,clear sky
249,Lensk,RU,60.7253,114.9278,59.83,97,100,2.35,overcast clouds
250,Yuli,NG,9.6989,10.2744,71.47,95,100,3.47,overcast clouds
251,Sangar,RU,63.9242,127.4739,62.22,91,100,3.83,light rain
252,Nouakchott,MR,18.0858,-15.9785,78.73,81,100,16.64,overcast clouds
253,Pinhao,BR,-25.6956,-51.6597,70.39,66,12,3.94,few clouds
254,Itarema,BR,-2.9248,-39.9167,82.36,62,88,15.61,overcast clouds
255,Severo-Kurilsk,RU,50.6789,156.125,51.48,98,100,12.82,light rain
256,Conceicao Da Barra,BR,-18.5933,-39.7322,76.33,65,22,8.21,few clouds
257,High Level,CA,58.5169,-117.136,73.51,46,40,9.22,scattered clouds
258,Bereda,ES,43.2686,-7.5406,65.41,94,17,7.52,few clouds
259,Katherine,AU,-14.4667,132.2667,57.52,58,90,6.91,overcast clouds
260,Nemuro,JP,43.3236,145.575,56.95,92,66,8.66,light rain
261,Muravlenko,RU,63.7898,74.523,57.76,61,66,6.85,broken clouds
262,Khatanga,RU,71.9667,102.5,46.54,62,100,21.65,overcast clouds
263,Stutterheim,ZA,-32.5708,27.424,51.64,94,100,3.13,overcast clouds
264,Walvis Bay,NA,-22.9575,14.5053,56.08,62,0,11.74,clear sky
265,Rorvik,NO,64.8621,11.2373,62.58,100,75,2.3,light rain
266,Sabancuy,MX,18.9667,-91.1833,91.29,51,11,10.67,few clouds
267,San Jacinto,US,33.7839,-116.9586,99.97,21,100,4.0,overcast clouds
268,Gwadar,PK,25.1216,62.3254,83.07,81,100,12.68,overcast clouds
269,Vacaria,BR,-28.5122,-50.9339,66.4,81,0,6.49,clear sky
